Employee_ID,Age,Gender,Country,Industry,Work_Mode,Work_Hours_Per_Week,Stress_Level,Sleep_Hours,Productivity_Score,Physical_Activity_Hours,Mental_Health_Support_Access,Burnout_Risk,productivity_level
EMP_0072,33,Non-binary,UK,Finance,Remote,56,8,8.1,70,2.9,Yes,Medium,Media
EMP_0073,40,Non-binary,India,Manufacturing,Hybrid,44,5,8.7,80,5.9,Yes,Medium,Alta
EMP_0074,29,Non-binary,Brazil,Healthcare,Remote,47,3,4.4,50,7.9,No,Medium,Media
EMP_0075,29,Female,Australia,Healthcare,On-site,47,9,7.2,68,0.8,Yes,Medium,Media
EMP_0076,42,Non-binary,Australia,Manufacturing,Remote,44,10,7.5,41,10.0,No,High,Media
EMP_0077,24,Male,India,Education,Hybrid,58,5,5.1,77,4.4,No,Low,Alta
EMP_0078,52,Female,Singapore,Tech,On-site,36,3,6.0,84,5.0,No,High,Alta
EMP_0079,24,Female,UK,Tech,On-site,50,2,9.8,65,8.6,Yes,High,Media
EMP_0080,56,Female,Singapore,Manufacturing,Remote,63,6,7.7,71,6.3,Yes,Low,Alta
EMP_0081,39,Non-binary,Germany,Tech,On-site,61,2,4.2,80,6.1,Yes,High,Alta
EMP_0082,32,Female,Japan,Manufacturing,Hybrid,56,2,5.3,93,9.1,No,Low,Alta
EMP_0083,31,Female,Australia,Education,Hybrid,47,7,9.0,70,2.4,Yes,Medium,Media
EMP_0084,34,Non-binary,Japan,Healthcare,Remote,34,5,8.6,94,4.1,No,Low,Alta
EMP_0085,40,Non-binary,Australia,Education,Hybrid,61,3,6.7,70,3.5,No,Medium,Media
EMP_0086,42,Male,Brazil,Education,On-site,44,7,4.3,87,4.7,No,Medium,Alta
EMP_0087,31,Female,USA,Finance,Hybrid,51,2,9.2,68,1.0,No,Low,Media
EMP_0088,31,Female,Germany,Manufacturing,On-site,46,6,7.7,65,6.5,No,High,Media
EMP_0089,56,Female,France,Healthcare,Hybrid,61,9,4.2,44,2.3,No,Low,Media
EMP_0090,27,Female,UK,Healthcare,Hybrid,36,8,5.0,59,9.0,Yes,Medium,Media
EMP_0091,25,Female,France,Tech,On-site,39,4,7.2,76,6.8,Yes,Low,Alta
EMP_0092,33,Male,Canada,Retail,Hybrid,45,8,9.5,49,2.3,No,Medium,Media
EMP_0093,38,Non-binary,USA,Retail,On-site,64,3,4.4,100,3.5,No,High,Alta
EMP_0094,49,Non-binary,Australia,Retail,On-site,42,7,9.1,46,2.4,No,High,Media
EMP_0095,40,Non-binary,Australia,Manufacturing,Hybrid,55,5,4.0,95,6.9,Yes,High,Alta
EMP_0096,53,Female,Brazil,Education,On-site,44,4,7.7,83,7.6,Yes,High,Alta
EMP_0097,28,Non-binary,USA,Tech,On-site,32,10,6.2,48,0.9,No,Medium,Media
EMP_0098,48,Male,Brazil,Finance,Hybrid,53,9,7.0,57,8.3,No,Medium,Media
EMP_0099,40,Non-binary,France,Manufacturing,On-site,34,3,8.5,54,8.6,No,High,Media
EMP_0100,45,Male,Singapore,Manufacturing,On-site,64,2,6.7,83,7.5,No,High,Alta
EMP_0101,46,Non-binary,France,Manufacturing,Hybrid,44,8,4.2,96,9.4,No,High,Alta
EMP_0102,36,Non-binary,UK,Healthcare,On-site,49,7,4.7,42,9.5,No,Medium,Media
EMP_0103,29,Male,Brazil,Education,Remote,54,8,6.2,100,7.4,No,High,Alta
EMP_0104,31,Female,UK,Retail,Hybrid,56,5,4.2,63,2.2,No,Low,Media
EMP_0105,45,Male,France,Education,Hybrid,52,1,6.4,52,9.7,No,Low,Media
EMP_0106,35,Non-binary,Canada,Manufacturing,Remote,51,4,9.9,90,5.6,Yes,High,Alta
EMP_0107,35,Non-binary,Brazil,Finance,On-site,39,10,4.0,94,9.8,Yes,High,Alta
EMP_0108,38,Male,UK,Healthcare,Remote,38,1,6.1,90,2.4,No,Low,Alta
EMP_0109,33,Female,USA,Finance,Hybrid,56,9,4.7,44,4.8,No,High,Media
EMP_0110,59,Male,India,Education,Remote,32,9,5.8,81,9.6,Yes,Medium,Alta
EMP_0111,47,Female,UK,Retail,Hybrid,58,2,9.4,60,6.1,Yes,Low,Media
EMP_0112,39,Non-binary,Canada,Education,Hybrid,50,7,10.0,73,2.9,No,Low,Alta
EMP_0113,29,Non-binary,Japan,Healthcare,Remote,57,8,9.3,66,3.4,No,Medium,Media
EMP_0114,48,Non-binary,UK,Tech,On-site,50,5,6.2,49,6.9,No,Low,Media
EMP_0115,27,Male,UK,Retail,Remote,53,3,7.3,77,9.6,No,High,Alta
EMP_0116,29,Female,France,Healthcare,On-site,33,5,7.6,62,1.0,Yes,Low,Media
EMP_0117,52,Male,UK,Tech,Hybrid,53,2,8.6,76,2.3,No,High,Alta
EMP_0118,57,Male,Canada,Healthcare,Hybrid,47,1,5.1,84,7.6,No,Medium,Alta
EMP_0119,22,Male,Germany,Education,Hybrid,55,2,4.9,80,9.7,Yes,High,Alta
EMP_0120,55,Male,Singapore,Retail,On-site,51,3,6.2,86,3.2,Yes,Low,Alta
EMP_0121,31,Male,Canada,Manufacturing,Hybrid,35,5,6.7,67,4.9,No,Medium,Media
EMP_0122,39,Male,Japan,Manufacturing,On-site,57,2,5.7,83,5.9,No,Low,Alta
EMP_0123,36,Female,Canada,Manufacturing,Remote,43,5,9.7,89,1.4,No,Medium,Alta
EMP_0124,42,Male,USA,Retail,Hybrid,57,3,4.8,74,7.0,No,Low,Alta
EMP_0125,47,Non-binary,USA,Retail,Remote,59,2,9.2,76,4.3,No,High,Alta
EMP_0126,48,Female,UK,Retail,Remote,50,3,8.8,79,4.6,No,Low,Alta
EMP_0127,49,Male,Brazil,Retail,Hybrid,55,9,4.5,95,3.1,No,Low,Alta
EMP_0128,43,Male,UK,Education,Hybrid,37,9,7.1,97,7.8,No,High,Alta
EMP_0129,31,Male,UK,Finance,On-site,42,3,7.6,88,7.6,Yes,Low,Alta
EMP_0130,53,Female,Canada,Education,On-site,50,6,4.9,44,4.7,No,Medium,Media
EMP_0131,59,Male,France,Education,Remote,49,8,6.7,43,3.7,No,Low,Media
EMP_0132,27,Non-binary,Canada,Education,On-site,59,10,7.3,90,7.4,Yes,Medium,Alta
EMP_0133,58,Non-binary,Brazil,Tech,Hybrid,60,9,4.9,43,4.5,No,High,Media
EMP_0134,27,Non-binary,Germany,Manufacturing,Remote,58,8,7.1,79,1.6,No,Medium,Alta
EMP_0135,46,Female,France,Healthcare,Hybrid,33,6,4.4,46,5.6,No,Medium,Media
EMP_0136,38,Non-binary,Canada,Finance,On-site,35,10,8.0,98,3.5,No,Low,Alta
EMP_0137,27,Female,Japan,Retail,Hybrid,51,3,8.0,93,9.5,Yes,High,Alta
EMP_0138,49,Non-binary,France,Manufacturing,On-site,49,3,9.7,61,9.5,No,Low,Media
EMP_0139,36,Male,Germany,Manufacturing,On-site,36,9,8.6,93,7.4,Yes,High,Alta
EMP_0140,43,Non-binary,Germany,Education,On-site,39,3,5.1,84,7.7,Yes,High,Alta
EMP_0141,50,Male,Singapore,Tech,Hybrid,45,8,7.7,88,7.5,No,Low,Alta
EMP_0142,56,Male,Australia,Retail,Remote,53,10,9.9,69,7.7,No,High,Media
EMP_0143,55,Female,Germany,Finance,Hybrid,38,5,4.3,70,8.7,Yes,High,Media
EMP_0144,55,Male,Australia,Manufacturing,Remote,47,8,9.4,49,8.3,Yes,Low,Media
EMP_0145,50,Female,USA,Retail,Remote,55,9,6.2,64,9.9,No,Low,Media
EMP_0146,23,Female,UK,Healthcare,Hybrid,51,3,4.8,58,9.2,No,High,Media
EMP_0147,30,Non-binary,India,Retail,Hybrid,30,2,4.1,53,8.3,No,Low,Media
EMP_0148,40,Male,Australia,Manufacturing,Remote,45,7,7.8,79,4.6,Yes,Medium,Alta
EMP_0149,56,Male,Japan,Education,Remote,39,5,6.6,79,3.5,No,Low,Alta
EMP_0150,27,Non-binary,France,Manufacturing,Hybrid,64,9,8.7,72,5.5,No,Medium,Alta
EMP_0151,24,Non-binary,Singapore,Tech,On-site,31,6,8.7,62,2.4,Yes,High,Media
EMP_0152,43,Male,USA,Tech,Hybrid,51,3,9.0,83,4.6,No,High,Alta
EMP_0153,33,Male,UK,Healthcare,On-site,32,5,5.2,90,2.0,Yes,Medium,Alta
EMP_0154,41,Non-binary,Singapore,Education,On-site,46,1,8.5,52,2.9,Yes,High,Media
EMP_0155,43,Female,UK,Tech,On-site,55,8,9.4,64,3.4,Yes,Medium,Media
EMP_0156,53,Female,Japan,Tech,Remote,57,2,6.6,92,1.8,No,Medium,Alta
EMP_0157,28,Male,France,Healthcare,On-site,49,8,7.6,67,1.7,No,Medium,Media
EMP_0158,50,Male,France,Education,On-site,47,1,4.5,80,4.1,Yes,Low,Alta
EMP_0159,31,Non-binary,India,Manufacturing,Remote,34,4,8.7,63,3.6,Yes,High,Media
EMP_0160,31,Non-binary,India,Tech,On-site,58,2,7.4,73,3.7,No,High,Alta
EMP_0161,39,Male,UK,Manufacturing,Hybrid,41,8,7.1,98,5.6,No,Medium,Alta
EMP_0162,50,Male,Canada,Tech,Hybrid,61,4,4.7,94,0.7,Yes,High,Alta
EMP_0163,50,Male,France,Healthcare,On-site,34,9,7.3,97,3.0,Yes,High,Alta
EMP_0164,33,Female,Japan,Finance,Remote,42,3,5.4,71,0.3,No,Medium,Alta
EMP_0165,57,Male,Canada,Manufacturing,Remote,49,7,10.0,86,4.8,No,Medium,Alta
EMP_0166,58,Male,Germany,Tech,Hybrid,34,8,6.8,73,3.4,Yes,Low,Alta
EMP_0167,49,Non-binary,USA,Manufacturing,Hybrid,39,5,5.0,60,9.3,Yes,Medium,Media
EMP_0168,55,Female,UK,Tech,Remote,47,3,7.8,79,5.3,Yes,High,Alta
EMP_0169,59,Male,Germany,Healthcare,Hybrid,51,10,4.2,95,0.3,Yes,High,Alta
EMP_0170,58,Female,Brazil,Education,On-site,31,8,9.3,74,2.9,No,Medium,Alta
EMP_0171,37,Non-binary,Singapore,Tech,On-site,34,1,4.9,66,4.8,Yes,Medium,Media
EMP_0172,31,Female,France,Healthcare,On-site,55,3,8.6,72,5.6,No,Low,Alta
EMP_0173,51,Male,Australia,Retail,Remote,39,2,4.3,100,3.8,No,Low,Alta
EMP_0174,32,Female,Canada,Healthcare,On-site,42,3,7.0,72,4.7,No,Medium,Alta
EMP_0175,23,Male,Singapore,Education,On-site,45,4,7.5,43,0.5,No,High,Media
EMP_0176,52,Female,Japan,Manufacturing,Remote,57,3,9.3,86,3.7,No,Medium,Alta
EMP_0177,24,Female,USA,Education,Hybrid,42,6,7.3,44,3.9,No,High,Media
EMP_0178,39,Non-binary,Canada,Manufacturing,Remote,36,7,6.2,61,5.6,No,Low,Media
EMP_0179,34,Non-binary,Japan,Retail,Hybrid,32,1,4.2,85,3.3,No,High,Alta
EMP_0180,51,Male,Canada,Education,Remote,50,10,5.9,65,9.9,No,High,Media
EMP_0181,43,Non-binary,Japan,Education,On-site,49,8,8.9,63,3.3,Yes,Medium,Media
EMP_0182,59,Female,USA,Education,On-site,46,10,7.5,86,0.5,No,Low,Alta
EMP_0183,55,Non-binary,Canada,Retail,Remote,45,1,7.4,84,1.1,Yes,Medium,Alta
EMP_0184,42,Female,Germany,Retail,Hybrid,43,7,7.0,79,9.2,Yes,High,Alta
EMP_0185,30,Non-binary,Brazil,Education,On-site,60,9,6.3,51,4.6,No,High,Media
EMP_0186,44,Non-binary,Australia,Education,On-site,42,4,5.7,59,2.2,No,Medium,Media
EMP_0187,35,Non-binary,India,Tech,On-site,52,9,9.6,90,7.2,No,Low,Alta
EMP_0188,58,Non-binary,Japan,Retail,On-site,52,3,5.7,58,9.6,Yes,Medium,Media
EMP_0189,50,Non-binary,Australia,Healthcare,On-site,43,4,9.0,57,9.3,No,Low,Media
EMP_0190,28,Non-binary,Canada,Finance,Remote,33,9,5.4,54,0.5,No,Medium,Media
EMP_0191,52,Male,Germany,Manufacturing,Hybrid,40,7,7.9,96,8.8,No,High,Alta
EMP_0192,34,Female,France,Tech,Hybrid,33,2,7.9,54,5.4,Yes,Low,Media
EMP_0193,48,Male,USA,Retail,On-site,41,5,9.3,40,3.0,Yes,Medium,Baja
EMP_0194,40,Female,Japan,Education,On-site,38,9,6.8,52,8.1,No,Low,Media
EMP_0195,51,Non-binary,Australia,Healthcare,Remote,30,6,8.7,76,6.7,Yes,Low,Alta
EMP_0196,47,Female,Japan,Tech,Remote,55,2,5.1,48,4.8,Yes,Low,Media
EMP_0197,38,Female,Brazil,Retail,On-site,51,5,7.5,76,0.1,No,High,Alta
EMP_0198,37,Male,UK,Retail,On-site,40,7,8.1,99,9.0,No,High,Alta
EMP_0199,29,Non-binary,Australia,Tech,Hybrid,44,4,9.7,70,1.5,No,Medium,Media
EMP_0200,57,Female,Japan,Healthcare,Remote,45,10,9.2,45,5.3,No,Low,Media
EMP_0201,58,Male,USA,Education,Hybrid,42,10,7.2,50,3.3,No,Low,Media
EMP_0202,35,Non-binary,Canada,Retail,Remote,62,8,8.9,69,1.3,No,Medium,Media
EMP_0203,58,Male,Japan,Retail,Hybrid,49,1,6.4,92,0.0,Yes,High,Alta
EMP_0204,26,Male,Singapore,Tech,Hybrid,34,9,10.0,99,8.9,No,Low,Alta
EMP_0205,40,Female,Germany,Finance,Hybrid,56,6,10.0,64,4.5,No,Medium,Media
EMP_0206,27,Non-binary,Japan,Finance,Hybrid,52,2,5.1,74,3.9,Yes,High,Alta
EMP_0207,36,Male,USA,Tech,On-site,64,7,7.2,92,2.3,No,Medium,Alta
EMP_0208,31,Female,Brazil,Healthcare,Remote,32,7,7.7,99,8.8,Yes,Low,Alta
EMP_0209,35,Male,UK,Education,Remote,58,10,8.0,95,0.5,Yes,Medium,Alta
EMP_0210,50,Male,Japan,Finance,Remote,38,9,10.0,54,8.2,No,High,Media
EMP_0211,42,Male,Australia,Finance,Hybrid,63,4,6.5,57,0.6,Yes,High,Media
EMP_0212,49,Non-binary,India,Manufacturing,On-site,54,9,5.9,66,4.1,No,Medium,Media
EMP_0213,33,Non-binary,India,Finance,Remote,49,3,8.8,98,0.6,No,Medium,Alta
EMP_0214,57,Non-binary,Germany,Retail,Remote,46,4,6.0,45,9.2,No,Low,Media
EMP_0215,56,Non-binary,Brazil,Manufacturing,On-site,54,10,7.6,95,0.7,Yes,Medium,Alta
EMP_0216,35,Female,Australia,Manufacturing,Remote,42,2,8.5,88,4.8,Yes,High,Alta
EMP_0217,35,Female,Brazil,Education,On-site,48,7,6.8,81,3.6,No,Medium,Alta
EMP_0218,54,Female,India,Manufacturing,Hybrid,60,6,9.5,63,3.1,Yes,High,Media
EMP_0219,36,Non-binary,Germany,Manufacturing,On-site,56,5,4.9,61,2.3,Yes,Medium,Media
EMP_0220,57,Non-binary,France,Tech,On-site,61,8,5.0,90,3.5,Yes,High,Alta
EMP_0221,56,Female,Germany,Education,Hybrid,33,9,4.2,94,0.7,Yes,Low,Alta
EMP_0222,48,Male,Brazil,Manufacturing,Hybrid,39,1,5.3,69,3.7,No,High,Media
EMP_0223,53,Male,USA,Education,Hybrid,56,1,4.1,86,2.7,No,Low,Alta
EMP_0224,54,Non-binary,Singapore,Finance,Remote,36,9,4.9,52,6.2,No,Medium,Media
EMP_0225,39,Female,UK,Tech,On-site,59,10,5.5,84,2.3,Yes,High,Alta
EMP_0226,24,Male,Singapore,Retail,On-site,60,1,7.8,84,1.7,No,Medium,Alta
EMP_0227,43,Non-binary,UK,Education,Remote,44,4,9.4,84,8.9,No,Medium,Alta
EMP_0228,24,Male,Australia,Education,Hybrid,32,3,9.6,60,0.2,Yes,High,Media
EMP_0229,31,Non-binary,Singapore,Manufacturing,On-site,40,10,5.4,93,8.5,No,Medium,Alta
EMP_0230,30,Non-binary,UK,Education,Hybrid,52,1,4.6,54,8.4,No,High,Media
EMP_0231,47,Female,USA,Healthcare,On-site,58,8,5.4,75,9.4,No,Low,Alta
EMP_0232,59,Non-binary,Singapore,Manufacturing,Hybrid,48,4,8.3,45,2.7,No,High,Media
EMP_0233,31,Non-binary,Singapore,Tech,On-site,36,2,4.0,59,4.4,No,Low,Media
EMP_0234,30,Male,Germany,Retail,On-site,62,7,4.6,45,3.5,Yes,High,Media
EMP_0235,42,Female,USA,Tech,On-site,54,2,8.3,75,9.1,Yes,High,Alta
EMP_0236,55,Male,Singapore,Finance,Remote,47,5,5.6,49,0.6,No,Medium,Media
EMP_0237,48,Female,India,Manufacturing,On-site,46,4,8.3,71,5.9,Yes,Medium,Alta
EMP_0238,28,Male,Australia,Manufacturing,On-site,51,10,6.3,95,3.3,No,Medium,Alta
EMP_0239,30,Female,France,Education,Hybrid,42,8,5.9,65,9.7,No,High,Media
EMP_0240,53,Non-binary,Brazil,Tech,On-site,47,7,6.2,99,5.6,Yes,High,Alta
EMP_0241,57,Male,India,Healthcare,Remote,58,5,9.0,44,8.2,No,High,Media
EMP_0242,53,Male,Australia,Finance,On-site,39,7,8.7,44,4.5,No,High,Media
EMP_0243,47,Non-binary,Japan,Healthcare,On-site,64,1,8.7,63,7.0,Yes,Low,Media
EMP_0244,37,Non-binary,France,Finance,Hybrid,32,10,9.9,83,6.5,No,Medium,Alta
EMP_0245,28,Male,UK,Tech,Remote,62,9,7.3,84,5.8,No,Medium,Alta
EMP_0246,47,Female,Canada,Healthcare,Hybrid,39,6,10.0,70,1.0,No,Low,Media
EMP_0247,29,Non-binary,Germany,Tech,On-site,51,8,8.7,73,4.8,No,Low,Alta
EMP_0248,50,Non-binary,India,Tech,Remote,49,1,8.9,47,0.2,No,High,Media
EMP_0249,28,Non-binary,Germany,Healthcare,Remote,63,3,7.3,61,5.6,No,Low,Media
EMP_0250,47,Non-binary,Germany,Finance,Hybrid,57,7,4.2,79,8.8,No,High,Alta
EMP_0251,49,Female,USA,Healthcare,Remote,43,5,8.5,91,8.0,Yes,High,Alta
EMP_0252,33,Female,France,Finance,On-site,37,5,8.0,71,5.3,No,High,Alta
EMP_0253,46,Non-binary,Singapore,Education,Remote,52,6,9.1,79,1.7,No,High,Alta
EMP_0254,59,Male,Germany,Tech,Remote,45,5,4.7,63,6.9,No,Medium,Media
EMP_0255,30,Non-binary,Singapore,Retail,Remote,61,9,8.2,81,9.3,Yes,High,Alta
EMP_0256,32,Female,Australia,Finance,Remote,50,8,7.7,95,3.6,Yes,Medium,Alta
EMP_0257,30,Male,Singapore,Education,Hybrid,61,7,8.1,66,7.1,No,Medium,Media
EMP_0258,32,Male,Canada,Manufacturing,Remote,48,1,5.6,74,2.9,No,High,Alta
EMP_0259,53,Non-binary,Japan,Manufacturing,Hybrid,37,5,8.7,92,9.9,Yes,High,Alta
EMP_0260,50,Non-binary,Brazil,Retail,Remote,45,5,9.2,42,4.5,No,Low,Media
EMP_0261,50,Male,Brazil,Finance,Hybrid,52,10,7.8,50,6.2,Yes,Low,Media
EMP_0262,25,Non-binary,France,Education,On-site,64,3,5.9,85,2.9,No,High,Alta
EMP_0263,28,Male,Singapore,Manufacturing,On-site,38,3,5.5,85,3.2,Yes,High,Alta
EMP_0264,47,Female,Germany,Education,Hybrid,47,7,6.3,44,6.3,Yes,Medium,Media
EMP_0265,54,Non-binary,Australia,Healthcare,On-site,59,8,6.0,40,8.7,Yes,High,Baja
EMP_0266,51,Non-binary,France,Manufacturing,Hybrid,55,4,9.8,92,2.1,No,Medium,Alta
EMP_0267,40,Female,Japan,Education,Remote,61,6,9.4,88,0.5,Yes,High,Alta
EMP_0268,51,Male,UK,Finance,On-site,59,1,10.0,67,2.0,Yes,High,Media
EMP_0269,41,Male,Australia,Manufacturing,Hybrid,53,5,4.5,82,9.0,Yes,Low,Alta
EMP_0270,47,Non-binary,Australia,Healthcare,Hybrid,44,7,7.9,85,1.0,Yes,Medium,Alta
EMP_0271,26,Male,Canada,Finance,Hybrid,58,1,4.0,61,8.2,No,High,Media
EMP_0272,30,Female,UK,Finance,On-site,35,2,4.6,63,8.8,Yes,Medium,Media
EMP_0273,30,Non-binary,Germany,Manufacturing,Hybrid,30,10,7.9,68,3.5,Yes,High,Media
EMP_0274,31,Female,Canada,Healthcare,On-site,43,2,9.4,48,7.5,No,Medium,Media
EMP_0275,49,Female,Germany,Finance,On-site,35,4,7.3,78,7.2,No,High,Alta
EMP_0276,23,Non-binary,Australia,Finance,Hybrid,62,4,8.5,58,6.5,Yes,Medium,Media
EMP_0277,46,Male,Brazil,Retail,Hybrid,34,9,9.3,40,9.9,No,Low,Baja
EMP_0278,46,Non-binary,Singapore,Tech,Hybrid,41,8,9.7,89,0.7,Yes,Low,Alta
